"","species","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16"
"123","clarkii",-97.696111,30.65291,1,0.742999970912933,-0.408951222896576,-0.245189413428307,0.150187611579895,-0.623656511306763,0.152223080396652,-0.142306489687424,-0.0242475174092095,-0.0534794796468931,-0.145082655168498,0.0459218980184607,-0.0961341295320089,-0.100900338663499,-0.1454644177924,0.0169026732215165,-0.037564969112249,0.0480591315501135,0.140091699526808,-0.0241734061813542,-0.216424312873648,-0.0543814385120142,0.03779963793381
"124","clarkii",-97.701087,30.405751,1,1.36670899391174,-0.330458402633667,0.40873908996582,-0.256180882453918,-0.133857220411301,-0.104309298098087,-0.0352468467951325,-0.0503195492937949,0.000792476732140467,0.114096650504156,-0.00787095944018899,0.000521059836019146,-0.0676104840297835,-0.0233920140830269,0.0233995830755365,0.0569261535952027,0.0561327264148261,0.0204513731891647,0.0327128171820653,-0.00440270139258024,0.0400211072664326,-0.011809837916344
"127","clarkii",-97.706631,30.662391,1,0.744659781455994,-0.413686156272888,-0.258687704801559,0.176117613911629,-0.531133651733398,0.142965257167816,-0.142311116737747,-0.0242206154585668,-0.0538723181252111,-0.145032002192045,0.0457479367438843,-0.0959817555093296,-0.100882203136933,-0.145189164847896,0.0171022534560521,-0.0376957052859379,0.0480809846283769,0.14008144390426,-0.024120574858982,-0.216205294021454,-0.0544051458021401,0.0378820047407469
"132","clarkii",-97.709225,30.278105,1,1.66090416908264,-0.051912359893322,1.09208655357361,-0.369593858718872,-0.333830952644348,-0.103123255074024,-0.0257846860685175,-0.0509679612375869,0.0630395179821207,0.106967630034091,0.0260919200875388,-0.0220145318218281,-0.0365206869701633,-0.106424881242727,0.0674545608674393,0.0890853025751254,0.046624292459881,-0.0599102777648474,0.0361750491640683,0.0692422111585122,0.0146861603151682,-0.000874194460168907
"139","clarkii",-97.737917,30.42976,1,1.14462995529175,-0.452665746212006,0.210863828659058,0.156158849596977,-0.507932066917419,-0.118862271308899,-0.0353231007578428,-0.0504124403359672,-0.000495265153060126,0.114160381493791,-0.00850252339939382,0.000505954192047388,-0.0674516768161015,-0.0229384386439511,0.0245647111786514,0.056189180342716,0.0564611230594624,0.0204285880951933,0.0326601642355836,-0.00326262652826091,0.0397513140768221,-0.0117347703220424
"140","clarkii",-97.738428,30.298538,1,1.3545196056366,-0.274910986423492,1.03488409519196,-0.198445618152618,-0.759931445121765,-0.102282673120499,-0.0201198944168809,-0.0482117730093168,-0.0153587866346356,0.083088587447839,0.0353692655636875,-0.0189661759552631,-0.0383851041296131,0.00102547799863679,-0.0730809805915,-0.139102082582003,-0.0885530673088771,-0.0643505587209726,-0.0335438582719434,-0.0203131235930722,-0.0904495511449662,-0.0776296154386801
"141","clarkii",-97.740538,30.420542,1,1.031977891922,-0.377755165100098,0.186236634850502,0.130162462592125,-0.6888467669487,-0.148500576615334,-0.0351451104939957,-0.0504676610163112,-0.00028849500378934,0.114298232973274,-0.00855811147758188,0.000451537490237885,-0.0676447668218067,-0.0229792710729119,0.0244369277553744,0.0562111228655409,0.0564803229589009,0.0205575884891648,0.0327339920818145,-0.00312232467813893,0.0397608041838057,-0.0117204653344997
"146","clarkii",-97.747161,30.517894,1,0.915987849235535,-0.223528161644936,-0.213921755552292,0.00426045525819063,-0.505557715892792,-0.0303998216986656,-0.0690364323645986,-0.0476473814879692,0.00542333795396052,0.0282977383252818,-0.14365553100926,-0.0366631153678628,0.135385202815875,-0.0152371205357486,0.00427367168842297,0.0871219556437994,-0.100125598457755,0.068541541190232,-0.164378024253804,-0.0236170873641481,0.017395404799132,-0.0257152363701677
"147","clarkii",-97.748061,30.233656,1,1.10964059829712,-0.45221734046936,1.13947737216949,-0.0802192986011505,-1.022127866745,-0.05622773244977,0.00928887407212023,-0.0447592853807306,0.0858934292058374,0.0128500299990808,0.130639385099648,-0.0489866265738793,0.109203436492888,-0.104788244243687,-0.0177029757341427,-0.119120758047391,0.0137070471424951,-0.0394678256830763,-0.0862344517622298,-0.0152730597089942,0.198459083017263,0.15538085821629
"157","clarkii",-97.754622,30.4478,1,1.38008165359497,-0.0384445898234844,-0.312971621751785,-0.324492335319519,-0.117195688188076,-0.159318685531616,-0.0354730848702999,-0.0504056910344242,-0.00128011624179373,0.11409067456607,-0.00878508606073507,0.000544672331972759,-0.0672395855484237,-0.0226932012268077,0.0252277173633487,0.0557991335638291,0.0566070569572291,0.0203337738415713,0.0325844238653717,-0.00278687814147117,0.0396060470418318,-0.0117031849998925
"158","clarkii",-97.754657,30.408434,1,1.06572556495667,-0.544252097606659,0.229490756988525,0.11246170848608,-0.558453679084778,-0.0651295036077499,-0.0348139286662384,-0.0505884282714236,-0.000203319404259344,0.114576289313502,-0.00882281199984663,0.00034773556909878,-0.0679790040481987,-0.0229526764656381,0.0244708259493122,0.0560695901204092,0.0565948650922554,0.0208042271973742,0.0328645088944716,-0.00257118985044512,0.0397109700552632,-0.0116722637687844
"161","clarkii",-97.756112,30.510727,1,0.873694121837616,-0.299263030290604,-0.190462216734886,0.0496196113526821,-0.606737911701202,-0.0239425338804722,-0.0688840052650798,-0.0477355410277274,0.0054824285297538,0.0283630930146104,-0.144002387386391,-0.0367838845912342,0.135448627166901,-0.0151956763402725,0.00428129532476145,0.0870818353772129,-0.100267358376883,0.0687648901110066,-0.164571145019657,-0.023301562560556,0.017308188171646,-0.0256767641375111
"170","clarkii",-97.758963,30.417596,1,0.709826588630676,-0.712659418582916,0.20694038271904,0.277918070554733,-1.20299780368805,-0.0671249628067017,-0.0349291618853964,-0.0505695546488221,-0.000527902518358172,0.114505208290554,-0.00889069052939331,0.00037790952341778,-0.0678409919006464,-0.022857837248884,0.0247292980907149,0.0559395780562885,0.0566351839153196,0.0207256514302705,0.0328131285897269,-0.00247259860217245,0.0396623976522302,-0.0116684167667311
"175","clarkii",-97.76913,30.46377,1,1.10119831562042,-0.288715213537216,-0.250367045402527,-0.222941532731056,-0.307751536369324,-0.110262230038643,-0.0356054378806073,-0.0503875023429282,-0.00197351971904445,0.114019132079357,-0.00903216082209419,0.000586633022264852,-0.0670456781626548,-0.0224835600325947,0.0258071943300914,0.0554537679236287,0.0567302141703639,0.0202484590844625,0.0325157957153371,-0.00237704117362759,0.0394764422834422,-0.0116738139093203
"184","clarkii",-97.771453,30.213008,1,1.4704407453537,-0.0691160708665848,0.63362181186676,-0.388011157512665,-0.254206717014313,-0.0560413636267185,0.0233435427064815,-0.0400023679018361,0.068251696382896,-0.0472608223985304,0.14049704504292,-0.0468884508227532,0.140390807676658,-0.0623481795383298,0.014909852733796,0.0236595797454897,0.0682149232243209,0.0494851376265433,-0.00193122582459971,0.0194715557669006,-0.0411721312675768,-0.0944854254550196
"185","clarkii",-97.772443,30.305783,1,1.40800893306732,-0.346532940864563,1.0548928976059,-0.306340247392654,-0.543055713176727,-0.0778267234563828,-0.0199025702443668,-0.048354062845921,-0.0161935417565503,0.0832369250848872,0.0348934770913854,-0.0191043389391012,-0.0384288071733716,0.00141319964406909,-0.0725584490653725,-0.140231362866178,-0.0886614011994817,-0.06443436303245,-0.0336743656254067,-0.019228224363813,-0.091025428295698,-0.0777321072708134
"187","clarkii",-97.778589,30.378131,1,1.3596123456955,-0.272787988185883,0.546338796615601,-0.272928506135941,-0.427958846092224,-0.094236709177494,-0.034081201267828,-0.0508111248404165,0.000199549870345692,0.115150090339059,-0.0092860449342111,0.000139972283734657,-0.0687192309507044,-0.0229853844144304,0.0243350828888301,0.0558852529492858,0.0567768501751722,0.0213408951673893,0.0331536190101377,-0.0015871820173043,0.0396458578940203,-0.0115773629298293
"188","clarkii",-97.780564,30.262646,1,1.50928151607513,-0.206267118453979,1.13176202774048,-0.337610155344009,-0.105023503303528,-0.0608184188604355,-0.00561967402096881,-0.0443573720220997,-0.0304343292378798,0.0268296122489976,0.0659692600965072,-0.0281066974705872,0.0189519589758251,0.0237503889816396,-0.07691329585056,-0.100893091907226,-0.061206153932085,-0.00252021884069504,-0.0202590586361833,0.0149507377556746,0.205522374970412,0.245563176720188
