"","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14"
"Simulans 309",-96.1846,30.588,1,4.57125234603882,-0.514519691467285,-0.503828763961792,0.553971230983734,1.51116371154785,0.810156643390656,0.129130146078064,0.287192389289644,0.116696744169073,0.102790443567195,0.0252241567470935,-0.00454912645420933,-0.00790812004388728,0.0395831738398821,-0.0198561774698511,-0.00311837796118854,-0.00435069038874202,-0.0122391878105403,-0.104597812486631,-0.0011538266675698
"Simulans 314",-96.223333,30.53,1,4.16486120223999,-1.156583070755,-0.229411959648132,0.215413004159927,0.363610595464706,-0.389986157417297,0.129134201222034,0.287213623908315,0.116710556098293,0.102817081750452,0.0252604788715051,-0.00454769318737486,-0.00791002983124678,0.0397222893536936,-0.019826954428127,-0.0030657747348433,-0.00434145578129989,-0.0122604551855523,-0.10618223209399,-0.00118191142186787
"Simulans 315",-96.1971,30.5136,1,4.31374073028564,-0.648562669754028,-0.535338521003723,0.369840800762177,0.657577633857727,-0.347684413194656,0.129125003203222,0.287172260660682,0.116690462740919,0.102804320351755,0.0252757869432561,-0.00454502159296994,-0.00790782297276184,0.0397873314215929,-0.0197936186224604,-0.00302911303779536,-0.00433161301545796,-0.0122605568106742,-0.107014811943195,-0.00119777562305749
"Simulans 316",-96.1971,30.5136,1,4.31374073028564,-0.648562669754028,-0.535338521003723,0.369840800762177,0.657577633857727,-0.347684413194656,0.129125003203222,0.287172260660682,0.116690462740919,0.102804320351755,0.0252757869432561,-0.00454502159296994,-0.00790782297276186,0.0397873314215928,-0.0197936186224604,-0.00302911303779526,-0.00433161301545787,-0.0122605568106742,-0.107014811943195,-0.00119777562305743
"Simulans 317",-96.1971,30.5136,1,4.31374073028564,-0.648562669754028,-0.535338521003723,0.369840800762177,0.657577633857727,-0.347684413194656,0.129125003203222,0.287172260660682,0.116690462740919,0.102804320351755,0.025275786943256,-0.00454502159296996,-0.00790782297276185,0.0397873314215929,-0.0197936186224604,-0.00302911303779534,-0.00433161301545769,-0.0122605568106742,-0.107014811943195,-0.00119777562305755
"Simulans 318",-96.1971,30.5136,1,4.31374073028564,-0.648562669754028,-0.535338521003723,0.369840800762177,0.657577633857727,-0.347684413194656,0.129125003203222,0.287172260660682,0.116690462740919,0.102804320351755,0.0252757869432561,-0.0045450215929699,-0.00790782297276181,0.0397873314215928,-0.0197936186224605,-0.00302911303779525,-0.00433161301545787,-0.0122605568106742,-0.107014811943195,-0.00119777562305747
"Simulans 320",-98.823028,30.507202,1,-2.38448238372803,-0.622106969356537,0.331787258386612,0.225227251648903,-2.5172164440155,0.0256067849695683,0.0197210722020532,0.0130749677345205,0.0633554361806713,-0.396381121218678,0.281538751552376,-0.0572996432209784,-0.172940105815578,0.0165464938526428,-0.16396998878308,-0.0560700424482755,-0.0772813802384835,-0.0375018561694563,0.00165798721043746,0.0385522857405781
"Simulans 321",-98.822801,30.506875,1,-2.38448238372803,-0.622106969356537,0.331787258386612,0.225227251648903,-2.5172164440155,0.0256067849695683,0.0197183699977033,0.0130747292248428,0.063358744068285,-0.396388472786574,0.281544466534758,-0.0573009288154545,-0.172943008420043,0.0165478763705931,-0.163980288388571,-0.0560724016840953,-0.0772733330514135,-0.0375102636099964,0.00165706214188791,0.0385437410542295
"Simulans 336",-97.891019,30.334919,1,0.984218299388885,-0.311595797538757,0.854517102241516,-0.131918728351593,-0.634965598583221,-0.0528777576982975,-0.159238301018026,-0.0112092003617436,0.0471464107649709,0.0673901530715294,-0.0599571815857475,0.017844437071458,-0.062260813823425,-0.0128433609376985,0.063699130525862,0.00837921670129797,0.0428380222750701,0.159167434033869,-0.00577342775274165,-0.0638526211922165
"Simulans 338",-97.676667,30.323333,1,1.49271464347839,-0.230368256568909,0.852299809455872,-0.237775281071663,-0.431612104177475,-0.0429578758776188,-0.146412391667671,-0.00626321267759837,-0.0176273883905126,0.0802216093348872,-0.0470391121297017,0.0254353362458133,-0.20565057827526,-0.034911232081485,0.252966773291022,-0.0949208582093589,0.113647909509281,-0.378532540585427,0.00480285836331798,0.039126599450037
"Simulans 340",-97.810333,30.276833,1,1.05489027500153,-0.343051970005035,0.529234111309052,-0.0580278970301151,-0.859099507331848,-0.136037990450859,-0.159416769489314,-0.0112081327762129,0.0464830528809653,0.0686499211489955,-0.0606738160302489,0.0177889453010937,-0.0603140524869564,-0.0128106085316561,0.0638345668523085,0.00854690723443592,0.0388212843637446,0.158824253529419,-0.00565273894592475,-0.05812839914409
"Simulans 341",-97.804893,30.270388,1,1.19627165794373,0.0540021881461143,0.214135929942131,-0.173020035028458,-0.547531366348267,-0.076440192759037,-0.159426759421746,-0.0112072251778068,0.0464240643879288,0.0687461104089357,-0.0607247210593378,0.0177747980809219,-0.0600716940480385,-0.0127960916744568,0.063762849903279,0.00858203281655922,0.0384612122780079,0.158851578711928,-0.00564120602404434,-0.0576531558187987
"Simulans 342",-97.933333,30.25,1,0.359650462865829,-1.03054511547089,0.218022271990776,0.817306816577911,-1.45373487472534,0.00465981615707278,-0.159869311509566,-0.0112563740704812,0.0471021835025994,0.0676205342401581,-0.0599178523440999,0.0174382608987286,-0.0584148799205769,-0.0122813740325802,0.0598641579098533,0.00928489126198989,0.0409182129881567,0.162069299891783,-0.0058597783286846,-0.0629388007158289
"Simulans 343",-97.891769,30.237192,1,0.310938358306885,-0.637760698795319,0.193735435605049,1.27082347869873,-0.973183214664459,-0.087430901825428,-0.159891537101007,-0.0112528188158377,0.0468303895240835,0.0681550652587553,-0.0602473690487158,0.0174760544479915,-0.058142828570862,-0.0123495992822538,0.0604888614484418,0.00921962089437519,0.0394473794001145,0.161507994369075,-0.00580236702239539,-0.0605767362571036
"Simulans 344",-97.905067,30.22587,1,0.31141921877861,-0.573780655860901,0.0537046007812023,1.29069113731384,-0.985765814781189,-0.0832534357905388,-0.159950341013807,-0.0112569808278727,0.0468551887929138,0.0680887477188265,-0.0601785737369288,0.0174042450777054,-0.0575714276038119,-0.0122509647404901,0.0597883017533703,0.00937692980362771,0.039378195027743,0.162035852198925,-0.00581709226492356,-0.0608034601806956
"Simulans 345",-97.653255,30.21809,1,2.87178158760071,0.809072315692902,0.890545547008514,-0.38371753692627,2.82011795043945,21.1639862060547,-0.153219092613178,-0.00240387599453888,-0.0952467660161928,0.110176623654314,-0.0345620964839914,0.00968329021956176,-0.0710071072582898,0.000706382304431844,0.00782511502423376,-0.0245215850587936,-0.239852699134122,-0.142428532072226,0.00573320469667259,-0.102878573007895
"Simulans 347",-97.698067,30.203797,1,1.87754094600677,0.523034691810608,0.806424975395203,-0.757208287715912,0.287940889596939,-0.257638812065125,-0.153759008951185,-0.00248570154699545,-0.0944843119990909,0.109871283366458,-0.0344794817043141,0.00956528291677645,-0.0699518711617748,0.00093150712263387,0.00602995253718112,-0.0239830058995727,-0.238756478888061,-0.139287910099084,0.00552972665084282,-0.102454908409032
"Simulans 348",-97.702001,30.203586,1,1.86336994171143,0.458072632551193,0.826338171958923,-0.73297393321991,0.247173935174942,-0.256162345409393,-0.153800315499575,-0.00249355000927666,-0.0943957460046825,0.109830892519756,-0.0344725015335597,0.00956030360549103,-0.0699072305433139,0.000943029769416165,0.00592330557490218,-0.0239446915804561,-0.238578084565913,-0.139017406064893,0.00551124187165855,-0.102496309211045
"Simulans 364",-96.5285,29.7852,1,4.23555374145508,-0.996540904045105,-0.526535451412201,0.210839569568634,0.104428686201572,-0.355283588171005,0.0933032272810758,0.0361869442169346,-0.359630438358187,0.00581661210046513,0.0982772351020653,-0.0160021652794292,-0.0639177328378182,0.00440356272966259,-0.0217995352799817,-0.00510477694704588,0.297838945351027,0.195071128651015,-0.0192174117814905,0.0193950459378093
"Simulans 366",-97.7627,29.7447,1,1.96025669574738,0.589866518974304,0.541488707065582,-0.223943680524826,-0.191134095191956,-0.1845513433218,-0.153369810002221,-0.00497129573716223,-0.0317863087737268,0.0650238914945322,-0.0254585926213018,-0.0162552949522365,0.19328801161178,0.0129115819442139,-0.0519215011040833,0.0176658395001847,-0.0628167629062578,-0.0303040880207644,-0.000850118698515531,0.304548790030532
"Simulans 367",-97.8967,29.7353,1,1.95214450359344,0.691377341747284,0.660475790500641,-0.330398827791214,-0.361358523368835,-0.196874588727951,-0.153753120183103,-0.005052694335331,-0.0300793053415238,0.0630058090499053,-0.0244129550640102,-0.0168172944154274,0.196720643903212,0.0132248266814792,-0.0538660413092858,0.017768478794401,-0.0543721494073048,-0.0306084446367679,-0.00104160336648147,0.291804890299841
"Simulans 368",-97.884353,29.731719,1,1.84896743297577,0.851093053817749,0.703943431377411,0.207089215517044,-0.0935052707791328,-0.142087936401367,-0.153639993233073,-0.00503439739605415,-0.0303066835200169,0.0631754035844143,-0.0244832648246771,-0.0167972357958708,0.196689401467945,0.0132231708569196,-0.0538529085049819,0.0178104671909237,-0.0553327631999189,-0.0305898115029633,-0.00100098617090276,0.293248876781619
"Simulans 369",-98.098258,29.694078,1,1.43536353111267,0.581118643283844,0.899496078491211,0.257826387882233,-0.965480089187622,0.767926275730133,-0.134218830482507,-0.00281920207373801,-0.0335822325930116,0.0317417062423003,0.000825050294678862,-0.0307303653309699,0.3061021959764,0.041472408164769,-0.27354335639441,0.0921778546604431,-0.204271400820792,0.298851378804967,9.8557353992613e-05,-0.414560855429889
"Simulans 372",-97.2968,29.5963,1,2.86072421073914,-0.306908637285233,0.817433297634125,-0.0877662599086761,-0.219191253185272,-0.115037605166435,0.0272867925659901,0.0325889073040964,-0.425351818140697,0.116073682832101,0.0571670291189032,-0.029623385684344,0.144920483421993,0.0413567831871074,-0.2300738897781,0.0373860364479698,-0.386124666366808,0.0205193902983631,0.000513203847324288,0.305487309113252
"Simulans 373",-98.39357,29.587667,1,0.803170382976532,0.208603009581566,1.12313663959503,0.108767300844193,-1.3851398229599,-0.000507056422065943,-0.0120123403969461,0.00942685312826276,-0.000285149057463801,-0.140026462588398,0.0974552823617595,-0.0914395873481607,0.624111998941843,0.011625460354037,0.0310391403866646,-0.0312467583320194,0.258156961868701,-0.278413672058843,0.00188587002297964,-0.0604871281744491
